1 0 46 0 3 3 1 149 13 100 1018
1 0 82 1 11 11 1 179 14 94 1018
1 0 109 3 16 16 1 180 16 82 1019
3 0 50 1 3 3 3 185 17 77 1019
4 0 54 4 3 4 4 202 19 68 1019
2 0 87 2 4 4 1 185 22 53 1019
1 0 80 2 4 4 1 177 23 49 1019
2 0 66 2 6 6 1 180 24 46 1019
6 0 30 1 10 11 1 177 25 41 1018
4 0 30 1 9 10 2 170 24 43 1018
5 0 83 2 12 13 2 179 25 44 1018
1 0 102 1 4 5 1 169 25 41 1018
1 0 102 1 5 5 1 165 24 46 1018
2 0 90 2 9 10 2 172 23 49 1018
2 0 43 1 6 7 1 159 23 46 1018
5 0 25 1 8 9 2 165 13 93 1017
3 0 59 1 2 3 1 192 13 93 1018
0 0 72 1 2 3 1 167 13 93 1019
1 0 73 1 2 3 1 164 13 93 1019
2 0 72 1 5 8 3 170 12 93 1019
3 0 23 1 3 5 3 159 12 93 1020
5 0 29 2 5 8 2 170 12 92 1020
3 0 96 4 6 7 3 167 11 96 1020
1 0 93 1 4 4 1 159 11 70 1021
1 0 116 1 5 5 1 155 11 81 1021
2 0 77 2 5 6 1 160 13 76 1011
1 0 41 1 2 2 1 167 13 77 1011
2 0 67 2 3 4 3 167 14 81 1011
4 0 59 2 9 9 1 185 14 84 1011
1 0 81 1 3 4 1 165 16 84 1011
2 0 66 1 2 2 1 174 18 83 1011
2 0 60 1 2 2 1 162 21 79 1011
2 0 44 0 4 5 1 145 21 47 1024
3 0 34 1 3 4 2 152 21 48 1024
2 0 68 1 4 4 2 152 21 40 1023
1 0 92 1 3 3 1 154 20 50 1024
0 0 87 1 4 4 1 159 21 50 1024
2 0 70 2 5 6 2 164 20 40 1023
2 0 57 1 6 7 1 185 19 35 1023
2 0 70 1 4 4 3 172 17 42 1023
2 0 43 1 2 2 1 162 15 63 1025
4 0 53 1 5 5 1 162 13 59 1025
1 0 38 0 1 1 1 154 12 80 1025
4 1 16 2 3 3 1 155 13 76 1025
2 0 29 0 7 7 1 164 14 72 1026
4 0 59 1 7 8 2 175 14 74 1026
2 0 77 2 10 10 2 174 12 82 1026
5 0 66 2 8 8 1 190 11 80 1026
1 0 69 1 6 7 1 174 11 82 1026
3 0 44 1 7 7 1 209 12 85 1026
3 0 5 1 5 5 2 132 14 83 1026
1 0 44 0 3 3 1 147 15 80 1027
3 0 53 2 13 14 3 180 19 84 1016
1 0 110 3 17 17 1 184 20 80 1017
3 0 69 3 6 7 3 187 21 76 1017
1 0 87 1 3 3 2 185 22 73 1017
3 0 82 3 4 5 2 190 23 66 1017
1 0 80 2 4 4 1 177 23 35 1026
1 0 70 1 5 6 1 177 23 44 1025
5 0 31 1 10 10 1 174 23 33 1025
4 0 29 1 9 10 2 167 23 56 1025
7 0 72 2 13 14 2 184 23 31 1025
1 0 96 1 5 5 1 167 20 40 1025
1 0 106 1 5 5 1 165 19 40 1024
1 0 97 2 8 9 2 169 16 63 1025
2 0 44 1 6 7 1 159 15 73 1025
4 0 18 1 9 10 3 159 16 73 1025
3 0 54 1 2 2 1 187 15 68 1025
1 0 71 1 3 3 1 167 16 71 1025
1 0 73 1 2 2 1 164 14 74 1025
2 0 72 1 5 8 3 172 14 75 1025
3 0 21 1 3 5 2 160 14 75 1025
4 0 28 1 5 7 1 169 14 77 1024
3 0 86 4 6 7 3 167 17 79 1020
